Protocol name;Instrument;Parameter;Level;Date;Value;Target;SD;Status;Message;User comment;User;Sample ID
AU 3 Multichem;AU3;TRIG;3;01/31/2017 20:28:46;2.990;2.9;0.1;Accepted;;;;T3
AU 3 Multichem;AU3;TRIG;3;01/31/2017 19:44:20;3.110;2.9;0.1;Accepted;4-1S fails (across runs) because results 3.110, 3.100, 3.070, and 3.100 are on the same side of the target and out of 1 SD (Target=2.900, SD=0.100);;;T3
AU 3 Multichem;AU3;SALIC;3;01/31/2017 19:44:15;377.6;365;15;Accepted;;;;T3
AU 3 Multichem;AU3;TRIG;2;01/31/2017 19:44:15;1.730;1.7;0.1;Accepted;;;;T2
AU 3 Multichem;AU3;SALIC;2;01/31/2017 19:44:10;134.1;136;10;Accepted;;;;T2
AU 3 Multichem;AU3;TRIG;1;01/31/2017 19:44:10;0.610;0.6;0.15;Accepted;;;;T1
AU 3 Multichem;AU3;SALIC;1;01/31/2017 19:44:05;68.1;79;8;Accepted;;;;T1
AU 3 Multichem;AU3;ALC;3;01/31/2017 19:29:42;2040.0;1925;100;Accepted;;;;T3
AU 3 Multichem;AU3;BICARB;3;01/31/2017 19:29:42;35.00;34.4;5;Accepted;;;;T3
AU 3 Multichem;AU3;C4;3;01/31/2017 19:29:42;0.360;0.38;0.02;Accepted;;;;T3
AU 3 Multichem;AU3;CA;3;01/31/2017 19:29:42;3.160;3.14;0.15;Accepted;;;;T3
AU 3 Multichem;AU3;CHOL;3;01/31/2017 19:29:42;6.900;6.84;0.2;Accepted;;;;T3
AU 3 Multichem;AU3;CL;3;01/31/2017 19:29:42;110.0;106.5;3;Accepted;;;;T3
AU 3 Multichem;AU3;CREAT;3;01/31/2017 19:29:42;469;469;20;Accepted;;;;T3
AU 3 Multichem;AU3;DBIL;3;01/31/2017 19:29:42;27.80;29;2;Accepted;;;;T3
AU 3 Multichem;AU3;GLU;3;01/31/2017 19:29:42;16.62;16.4;0.5;Accepted;;;;T3
AU 3 Multichem;AU3;IGA;3;01/31/2017 19:29:42;2.970;2.9;0.1;Accepted;;;;T3
AU 3 Multichem;AU3;IGM;3;01/31/2017 19:29:42;1.220;1.21;0.05;Accepted;;;;T3
AU 3 Multichem;AU3;K;3;01/31/2017 19:29:42;6.660;6.67;0.2;Accepted;;;;T3
AU 3 Multichem;AU3;NA;3;01/31/2017 19:29:42;157.0;156;4;Accepted;;;;T3
AU 3 Multichem;AU3;TBIL;3;01/31/2017 19:29:42;92.00;93.2;5;Accepted;;;;T3
AU 3 Multichem;AU3;TP;3;01/31/2017 19:29:42;86.96;86;2;Accepted;;;;T3
AU 3 Multichem;AU3;TRIG;3;01/31/2017 19:29:42;3.100;2.9;0.1;Accepted;4-1S fails (across runs) because results 3.100, 3.070, 3.100, and 3.090 are on the same side of the target and out of 1 SD (Target=2.900, SD=0.100);;;T3
